distance,dq
3.86078,0.00608
4.73995,0.00608
5.11776,0.00608
6.41332,0.00608
5.08002,-0.00108
5.40552,-0.00108
-1.00000,0.11390
4.67567,-0.00519
4.16497,0.00366
2.85744,-0.09582
1.91772,0.28006
2.87009,-0.14210
4.19443,-0.01796
5.41133,0.04481
5.91390,-0.01627
5.61639,-0.00371
4.70048,-0.00146
6.95409,0.00615
7.88621,0.00141
9.52687,-0.00063
7.31677,-0.00145
0.00000,-0.24293
3.10059,0.00945
5.76205,0.00342
4.99855,0.00643
2.97299,0.06042
6.29946,-0.01059
7.34626,-0.00203
7.99260,0.00062
2.45680,0.01797
-1.00000,0.10573
5.43018,0.02472
5.33368,0.00346
4.21794,0.01770
2.91061,-0.19797
1.89551,0.35412
2.82504,-0.10907
4.12583,-0.04713
4.89911,0.01842
4.77989,0.02226
6.00120,-0.00177
0.00000,-0.31231
3.11327,0.09389
4.43574,-0.02989
6.45866,-0.00531
6.30409,-0.00650
2.97056,0.03896
4.93296,-0.00262
-1.00000,0.13902
4.16931,-0.02182
2.86818,-0.09111
1.91334,0.25487
2.86995,-0.09111
4.17213,-0.02182
4.71245,0.00084
6.17969,0.02446
7.13662,-0.00761
8.33581,-0.00296
9.69328,0.00557
10.50199,-0.00280
9.82208,0.00214
8.17769,-0.00340
6.97712,-0.00470
0.00000,-0.24895
5.00466,0.01099
2.97092,0.03454
2.97404,0.03454
5.02306,0.01099
7.22929,0.00069
10.09510,-0.00105
11.58155,0.00022
-1.00000,0.11748
4.16865,-0.03291
2.86490,-0.08535
1.91114,0.25195
2.86570,-0.08535
4.16792,-0.03291
4.69824,0.02128
6.19161,0.00896
6.72285,-0.00246
7.17204,-0.00320
7.00465,-0.00172
6.95287,0.00046
7.36708,-0.00016
6.67261,-0.00105
8.51895,0.00046
9.05562,-0.00016
9.19268,-0.00105
0.00000,-0.24696
5.01752,0.01240
2.96788,0.03341
2.96965,0.03341
5.01213,0.01240
6.57365,0.00070
6.73450,0.00070
8.84044,0.00070
10.07468,0.00070
-1.00000,0.11575
3.53214,0.01762
5.10179,-0.01395
5.34529,0.04697
4.34017,-0.06107
2.91051,-0.10140
6.20521,-0.00127
7.55117,-0.00058
8.42714,0.00122
9.71492,0.00360
10.26131,-0.00665
9.51600,0.00781
8.12477,-0.00388
1.97850,0.37648
0.00000,-0.20729
3.02912,0.01837
10.11523,-0.00064
11.34434,0.00123
10.44712,-0.00097
7.62116,-0.00600
4.54508,0.00638
4.78003,0.00638
2.50577,-0.08600
2.49996,-0.08600
6.21256,-0.00120
-1.00000,0.09084
7.69289,0.00477
7.56555,-0.00483
8.86743,0.00397
9.66710,-0.00143
8.97347,-0.00110
6.51227,-0.02116
5.30532,0.06707
4.18898,-0.07254
4.70920,0.04853
4.17282,-0.04403
2.87141,-0.07660
1.90822,0.25329
2.86187,-0.07860
6.05527,-0.00960
0.00000,-0.25726
9.39947,0.00292
2.97184,0.03205
5.02903,0.01416
2.96903,0.03810
5.29788,-0.02200
8.91695,-0.00112
10.40629,-0.00112
6.45735,0.00621
-1.00000,0.12033
5.32275,-0.01276
5.06483,0.02031
4.16118,0.00635
3.43184,-0.00853
3.79581,-0.03608
4.76948,0.03305
3.84638,0.00950
3.09121,0.04788
2.86723,-0.11784
4.17112,-0.00800
4.68952,0.02175
4.17131,-0.02680
2.86580,-0.09056
1.90570,0.26570
0.00000,-0.24698
6.24455,-0.00067
5.84520,-0.00671
4.39397,-0.00468
5.39021,-0.00836
3.19569,0.00038
4.24047,0.00038
5.00214,0.00677
5.77530,-0.00335
5.01428,0.01111
2.96136,0.03376
-1.00000,0.11438
8.70244,-0.01084
7.20441,0.00973
6.81039,-0.00406
5.55881,0.00772
4.43240,-0.04033
4.93250,0.01565
6.32447,-0.00787
7.05864,0.00388
6.59970,-0.00167
8.27479,-0.00167
3.09299,0.07458
2.99138,-0.06973
4.11860,-0.00467
2.00235,0.19587
2.49523,-0.01837
2.89046,-0.16634
0.00000,-0.21018
9.13688,0.00270
9.22397,0.00270
9.08886,0.00270
7.68706,-0.00159
5.62242,0.00584
4.49598,-0.00345
2.45146,-0.01011
3.07757,0.03947
3.03660,0.03947
3.87290,0.03947
-1.00000,0.11110
8.70244,-0.01143
7.20441,0.00947
6.81039,-0.00376
5.55881,0.00870
4.43240,-0.04309
4.93250,0.01532
6.32447,-0.00703
7.05864,0.00363
6.59970,-0.00163
8.27479,-0.00163
3.09299,0.07960
2.99138,-0.07097
4.11860,-0.00398
2.00235,0.19240
2.49523,-0.01652
2.89046,-0.17108
0.00000,-0.21124
9.08864,0.00287
9.22397,0.00287
9.13688,0.00287
7.68706,-0.00179
5.62242,0.00539
4.49598,-0.00328
2.45146,-0.01138
3.87251,0.04114
3.03660,0.04114
3.07757,0.04114
-1.00000,0.11231
8.68631,-0.00285
7.29413,0.00145
6.39514,-0.00290
5.06695,0.01275
4.67628,-0.00592
4.49397,-0.05487
3.18184,0.08638
2.92283,-0.13704
4.20958,0.00399
4.69488,0.01349
4.14408,-0.01939
2.82261,-0.08863
1.91525,0.25688
0.00000,-0.26301
5.64793,0.02825
6.66757,-0.00877
8.93283,0.00073
8.93227,0.00073
9.44067,0.00073
7.21353,0.00009
7.21427,0.00009
2.60246,0.00607
5.07993,0.00411
5.78046,-0.00194
4.96902,0.00802
2.88072,0.03968
-1.00000,0.12189
6.91208,-0.00297
6.06212,0.00130
4.71427,0.00773
4.18644,0.02813
2.87912,-0.17624
1.90383,0.30976
2.86290,-0.11207
4.19283,-0.03630
5.30090,0.04722
6.47388,-0.01079
0.00000,-0.27239
3.00517,0.07902
4.41008,-0.04510
7.90561,0.00074
6.90117,0.00074
6.90084,0.00074
5.02760,0.00084
2.95470,0.04445
5.15649,-0.01646
4.69132,0.00939
4.97000,0.00939
4.96931,0.00939
-1.00000,0.12349
11.25406,0.01029
9.93955,-0.00854
8.97583,0.00288
9.92239,0.00460
11.37907,-0.00820
7.50780,0.00916
7.14682,0.00182
6.80897,-0.02419
5.46383,0.00011
5.17708,0.07456
3.94440,-0.13448
4.06441,0.04738
2.94805,-0.15804
1.86367,0.31840
2.75397,-0.00793
0.00000,-0.31404
12.15799,-0.00207
9.78733,0.00039
12.32946,0.00145
7.43546,-0.00124
6.07530,-0.00876
5.08716,0.00406
3.27950,0.04430
-1.00000,0.14812
2.86587,-0.06810
4.16791,-0.05487
4.69175,0.05922
4.18410,-0.07556
2.86288,-0.07885
1.90808,0.25210
0.00000,-0.25766
5.38521,0.04805
5.90436,-0.01044
5.47451,-0.00896
5.10549,0.00473
5.53694,0.00065
6.14584,0.00065
6.11822,0.00473
6.05474,-0.00649
2.97068,0.02988
5.01677,0.01599
2.95872,0.03739
6.19422,-0.00902
4.89903,-0.00113
6.76410,-0.00113
6.47027,-0.00123
-1.00000,0.12006
8.83287,-0.00259
7.52985,0.00629
7.79504,-0.00259
9.09982,0.00012
9.69159,0.00012
6.51016,-0.02143
5.28875,0.05527
4.19435,-0.03818
4.70898,0.02743
4.16895,-0.03423
2.87003,-0.08212
1.90949,0.26114
2.86466,-0.10826
6.06340,0.00241
0.00000,-0.25736
2.98243,0.03244
5.01720,0.01275
2.95874,0.04793
5.17720,-0.02205
7.16159,0.00227
9.16849,0.00227
6.45131,-0.00242
-1.00000,0.12078
8.55949,0.00545
9.07075,-0.00053
10.46156,-0.00110
11.15863,-0.00035
10.58266,0.00204
9.21112,-0.00507
8.35926,0.00807
6.94634,-0.02476
6.20286,0.02622
6.86861,-0.00717
4.69946,0.01116
4.16591,-0.03137
2.86233,-0.09048
1.90892,0.26761
2.86496,-0.09048
4.16538,-0.03137
0.00000,-0.26249
8.03794,-0.00163
9.46958,-0.00163
8.00914,-0.00163
11.10018,0.00023
12.24252,0.00007
11.29355,-0.00035
8.90171,0.00186
6.55689,0.00930
4.99846,0.01310
2.96551,0.03484
2.96858,0.03484
5.02172,0.01310
-1.00000,0.12253
5.49951,0.08901
4.84176,-0.07836
4.63651,0.05087
4.55972,0.00445
3.54849,-0.02824
3.74416,0.00445
3.84562,0.05087
3.22137,0.09311
3.88592,-0.01035
2.88325,-0.13918
4.18054,-0.00246
4.69209,0.02544
4.16370,-0.03449
2.85324,-0.08097
1.91716,0.27030
0.00000,-0.27138
5.99591,-0.02104
6.37991,-0.02104
4.97274,-0.02104
5.73899,0.01077
3.99754,-0.00983
5.64796,-0.00983
5.51583,-0.00415
4.75790,-0.00415
4.82423,-0.00415
3.36945,-0.00415
4.51919,-0.00983
2.99649,-0.00983
5.02849,0.00090
5.77829,-0.00326
5.00158,0.01169
2.93447,0.03464
-1.00000,0.12118
6.84851,0.01826
7.04423,-0.02031
8.44114,-0.00165
9.20996,0.00522
10.57522,-0.00237
11.21393,0.00058
10.59349,-0.00237
9.22761,0.00522
6.20365,0.02263
6.80505,-0.00482
4.70029,0.01597
4.16647,-0.03499
2.86587,-0.08998
1.91005,0.26929
2.86364,-0.08998
4.16654,-0.03499
0.00000,-0.26904
6.90707,-0.00315
7.76886,-0.00315
6.00650,-0.00315
8.85555,-0.00206
11.24052,0.00054
12.29002,0.00014
11.26467,0.00054
8.88901,-0.00206
5.01833,0.01338
2.96963,0.03604
2.96588,0.03604
5.00567,0.01338
-1.00000,0.12683
4.16497,-0.03885
2.86107,-0.08221
1.90641,0.26598
2.86284,-0.08221
4.16322,-0.03885
4.69355,0.01430
6.18901,0.02608
6.83672,-0.00610
7.03334,-0.01693
8.44693,0.00530
9.24463,0.00103
9.96070,-0.00038
6.92292,0.00530
7.32407,0.00103
7.82255,-0.00038
0.00000,-0.26826
5.00286,0.01417
2.96639,0.03316
2.96715,0.03316
5.01572,0.01417
8.97175,-0.00054
8.59781,-0.00054
7.74978,-0.00054
6.00256,-0.00054
-1.00000,0.12264
10.76550,0.00595
9.30335,0.00221
9.03699,-0.00207
9.27485,-0.00025
7.92287,-0.00470
6.96284,0.00248
7.03250,-0.01531
8.45772,-0.00640
6.20343,0.02902
6.82439,-0.00562
4.70072,0.00996
4.16842,-0.03650
2.86460,-0.08228
1.91135,0.26008
2.86644,-0.08228
4.16684,-0.03650
0.00000,-0.26295
10.96384,-0.00148
11.43054,-0.00148
11.18283,-0.00148
9.78279,0.00030
9.98212,0.00030
7.59125,0.00177
8.15794,0.00177
5.97592,0.00157
7.47811,0.00157
8.93764,0.00206
8.62318,0.00206
5.01035,0.01345
2.96741,0.03375
2.96950,0.03375
5.01961,0.01345
-1.00000,0.12382
3.52668,0.02032
3.50110,-0.02771
4.43077,0.00179
4.72387,0.00442
5.96204,0.00260
6.79729,-0.00676
6.59120,0.00260
5.50810,0.00442
3.22104,0.08074
3.92710,-0.00842
2.88165,-0.09994
4.17984,-0.02554
4.69141,0.03790
4.16221,-0.04223
2.85261,-0.06544
1.91517,0.22833
0.00000,-0.24840
4.55470,-0.00060
3.67516,-0.00060
2.94629,-0.00060
4.27294,-0.00779
6.45378,0.00024
7.79233,0.00160
7.47349,0.00024
5.70097,-0.00779
5.02655,0.00652
5.77712,-0.00523
5.00056,0.01221
2.93455,0.03318
-1.00000,0.10992
6.07589,0.01496
4.66695,0.07455
3.97934,-0.02978
4.84349,-0.05786
3.85760,0.02478
3.75097,0.01366
3.55713,-0.01490
4.57269,0.00139
3.22042,0.07788
3.87818,-0.00749
2.88282,-0.12733
4.17966,-0.01184
4.69186,0.02936
4.16384,-0.03638
2.85400,-0.08694
1.91656,0.27406
0.00000,-0.27264
6.83818,-0.00707
6.44700,-0.00707
6.29449,-0.00707
5.24938,0.00796
5.76966,0.00796
3.01041,-0.00053
4.53624,-0.00053
4.83033,-0.00597
3.36865,-0.00597
4.77499,-0.00979
5.52766,-0.00979
5.02814,0.00361
5.77801,-0.00384
5.00135,0.01261
2.93530,0.03682
-1.00000,0.12320
6.07589,0.00892
4.66695,0.07341
3.97908,-0.02779
4.84385,-0.06010
3.85760,0.02473
3.75165,0.01203
3.55713,-0.01515
4.57269,-0.00261
3.22042,0.08174
3.87729,-0.00946
2.88282,-0.12674
4.17966,-0.00916
4.69186,0.02543
4.16384,-0.03248
2.85400,-0.09086
1.91656,0.27424
0.00000,-0.27182
6.29411,-0.00533
6.44681,-0.00533
6.83775,-0.00533
5.76966,0.00915
5.24938,0.00915
3.01056,-0.00046
4.53650,-0.00046
3.36935,-0.00549
4.83104,-0.00549
4.77429,-0.00834
5.52766,-0.00834
5.02806,0.00240
5.77781,-0.00292
5.00135,0.01179
2.93530,0.03802
-1.00000,0.12266
4.78984,0.04577
3.82511,0.03409
2.96212,-0.01457
4.82023,-0.06678
4.69886,0.03409
5.76358,-0.01457
4.59746,-0.02959
3.54535,-0.03705
3.71211,-0.02959
3.23700,0.09565
3.92634,-0.01100
2.88547,-0.12786
4.18178,0.00025
4.69232,0.01934
4.16197,-0.02385
2.85175,-0.07902
1.91732,0.24189
0.00000,-0.23814
4.07713,0.04577
5.69393,-0.01356
4.56219,-0.01356
5.24375,-0.01356
5.23005,0.01847
5.73722,0.01847
4.83250,0.01109
5.52957,0.01109
4.79168,0.01109
3.32242,0.01109
5.03012,-0.00056
5.77802,-0.00239
4.99932,0.00923
2.93166,0.03122
4.59449,-0.01356
4.59548,-0.01356
2.99582,-0.01356
-1.00000,0.11771
4.79070,0.04257
3.82693,0.03528
2.96349,-0.01517
4.82247,-0.06215
4.70104,0.03528
5.76594,-0.01517
4.59944,-0.02711
3.54679,-0.03295
3.71300,-0.02711
3.23721,0.08685
3.92776,-0.00980
2.88647,-0.11539
4.18264,-0.00403
4.69262,0.02053
4.16273,-0.02504
2.85159,-0.07570
1.91843,0.23119
0.00000,-0.23404
4.07820,0.04257
5.24530,-0.01283
4.56299,-0.01283
5.69549,-0.01283
5.23126,0.01654
5.73952,0.01654
4.83402,0.00975
5.53035,0.00975
4.79311,0.00975
3.32346,0.00975
5.03068,0.00030
5.77903,-0.00241
5.00025,0.00934
2.93164,0.03107
4.59557,-0.01283
4.59542,-0.01283
2.99639,-0.01283
-1.00000,0.11602
4.69265,0.03286
4.16466,-0.04013
2.85488,-0.07176
1.91654,0.26892
2.88270,-0.15176
4.18128,-0.00736
3.20200,0.09524
3.76599,0.00177
3.61537,-0.03014
3.90593,0.01520
3.83990,-0.01486
4.69968,-0.01251
4.48386,0.02837
4.57671,0.00063
5.50178,0.00012
5.18939,-0.02143
5.94357,0.01175
0.00000,-0.27594
5.77924,-0.00531
5.00291,0.01210
2.93734,0.03348
5.02994,0.00527
5.00075,-0.00166
3.70512,-0.00166
2.92224,0.00879
4.56137,0.00879
4.99706,0.00274
5.68654,0.00274
3.75939,-0.00975
5.46284,-0.00975
6.03885,0.00738
4.65317,0.00738
5.41838,-0.01609
-1.00000,0.12662
4.69058,0.02107
4.16515,-0.02848
2.85693,-0.09437
1.91447,0.28715
2.87608,-0.14931
4.17566,-0.00123
3.20660,0.10713
3.88221,-0.01834
3.52178,-0.05421
3.55349,0.01546
5.07134,0.00041
5.91642,0.00698
5.83126,0.02090
4.55620,-0.01080
4.36215,0.00420
5.21145,0.00796
4.71060,-0.00882
0.00000,-0.27712
5.77644,-0.00285
5.00527,0.01103
2.94307,0.03887
5.02256,0.00380
3.34211,0.00272
3.18294,0.00272
5.51374,-0.00109
5.43298,-0.00109
6.96066,-0.00316
5.91379,-0.00316
6.26667,-0.00524
6.62651,-0.00524
5.71533,-0.00261
6.09436,-0.00261
4.23114,0.01335
-1.00000,0.12596
10.83392,-0.00381
9.55382,0.00657
8.48736,-0.00584
8.96345,0.00309
10.27523,-0.00088
11.10824,0.00185
7.09770,-0.00846
7.06842,0.00054
6.11235,0.02704
4.70396,0.00045
4.16837,-0.01935
2.86802,-0.10445
1.91131,0.27794
2.87062,-0.10445
4.17966,-0.01935
0.00000,-0.26142
11.70470,0.00059
9.45908,-0.00112
8.39917,-0.00102
12.15560,-0.00026
6.56075,-0.00846
5.01176,0.01161
2.97777,0.03765
2.97454,0.03765
5.02591,0.01161
-1.00000,0.12229
5.36922,0.06690
4.18254,-0.02579
2.86591,-0.10561
1.91273,0.24970
2.87115,-0.09144
4.17498,-0.01580
4.70104,0.00127
6.11032,0.02405
7.08974,-0.00824
7.05032,0.00101
8.48164,-0.00157
9.53314,0.00216
10.83338,-0.00094
11.19226,0.00052
10.32282,-0.00094
8.94543,0.00216
0.00000,-0.23104
6.05606,-0.01504
5.24726,-0.01504
6.05902,-0.01504
2.96098,0.04109
2.98223,0.03254
5.02428,0.00942
6.57997,-0.01160
9.41219,-0.00043
11.66487,0.00013
12.25421,0.00000
10.80982,0.00013
8.37065,-0.00043
-1.00000,0.10792
10.45295,-0.00081
9.06371,0.00333
8.35474,0.00513
9.21205,-0.00437
10.56848,0.00258
11.16343,-0.00180
11.47241,-0.00033
6.94643,-0.02222
6.19959,0.02521
6.87270,-0.00666
4.69791,0.01014
4.16434,-0.02875
2.86195,-0.09478
1.90831,0.27392
2.86495,-0.09478
4.16536,-0.02875
0.00000,-0.26726
11.07967,0.00042
8.64311,-0.00216
8.94558,0.00154
12.24712,0.00042
6.56967,0.00814
4.99705,0.01217
2.96520,0.03604
2.96880,0.03604
5.02222,0.01217
-1.00000,0.12542
10.78091,-0.01452
9.30526,-0.00314
9.12578,-0.00022
8.45745,0.01344
7.03122,-0.01768
6.96823,0.01344
8.00280,-0.00314
8.33884,-0.00022
9.23221,0.00224
7.72042,-0.01452
6.20278,0.03181
6.82779,-0.00650
4.70018,0.00679
4.16757,-0.03408
2.86694,-0.08457
1.91105,0.26241
2.86478,-0.08457
4.16759,-0.03408
0.00000,-0.26319
11.10729,0.00457
11.41522,0.00457
