name,type,nb_distance,distance,q_std,q_mod
C1,c3,2,3.092043984163227,-0.171498,-0.305988
C2,c3,1,2.229086584231308,-0.174462,0.050363
H1,h1,2,2.6962093761427357,0.195944,0.169971
C3,c3,2,3.087513400780635,0.320855,0.197805
H2,h2,3,3.192151938739759,0.115434,0.148658
O1,os,3,4.382756894923559,-0.380361,-0.371556
C4,c3,4,5.257255748011504,0.022518,-0.023761
C5,c3,4,4.6307688346537015,0.303087,0.263079
H3,h1,5,4.659639578336504,0.063088,0.073459
O2,os,3,3.4106119685475806,-0.441374,-0.377328
C6,c3,5,5.684531115228413,0.123488,0.113542
O3,oh,6,5.676464480642858,-0.675666,-0.664768
I1,i,0,0.0,-0.163958,-0.408078
H4,hc,3,3.2573797752181126,0.078181,0.109408
H5,hc,3,3.2076761058436056,0.078181,0.109408
H6,hc,3,4.0877202692943655,0.078181,0.109408
H7,h1,5,5.882307285411057,0.061597,0.080016
H8,h1,5,6.018884697350499,0.061597,0.080016
H9,h1,6,5.812749865597177,0.029903,0.035636
H10,h1,6,6.648758530733389,0.029903,0.035636
H11,ho,7,6.432109296335068,0.445363,0.441641
X,x,-1,-1.0,0.0,0.133436
