name,type,nb_distance,distance,q_std,q_mod
C1,ca,4,4.544801205773471,-0.166662,-0.183558
C2,ca,3,4.019655831038275,-0.115257,-0.105264
C3,ca,2,2.72546564828838,-0.051094,-0.191493
C4,ca,1,1.7565708069986818,-0.021733,0.275944
C5,ca,2,2.728913520066182,-0.051094,-0.191493
C6,ca,3,4.019456306517089,-0.115257,-0.105264
Cl1,cl,0,0.0,-0.101365,-0.328627
C7,c,5,6.043973113772099,0.792027,0.818398
N1,n,6,6.8129603697658485,-0.597911,-0.614941
C8,c3,7,8.2389589755017,-0.080811,-0.078128
C9,c,8,8.999948110961528,0.707957,0.711184
N2,n,9,10.327190566654611,-0.538278,-0.538432
O1,oh,10,11.144394375649131,-0.396663,-0.397288
O2,o,6,6.738129933445927,-0.585043,-0.592488
O3,o,9,8.638991723575153,-0.543834,-0.546008
H1,ha,4,4.861955779313506,0.139678,0.146291
H2,ha,3,2.8620784405742623,0.132624,0.176217
H3,ha,3,2.8653559988245787,0.132624,0.176217
H4,ha,4,4.885989050335664,0.139678,0.146291
H5,hn,7,6.5810534870946,0.293298,0.298887
H6,h1,8,8.6551488144341,0.099325,0.098813
H7,h1,8,8.586792707408279,0.099325,0.098813
H8,hn,10,10.732214170431003,0.42073,0.420237
H9,ho,11,10.567695586077411,0.407737,0.40808
X,x,-1,-1.0,0.0,0.097613
