name,type,nb_distance,distance,q_std,q_mod
C1,c3,4,4.293424507313481,-0.012514,-0.024116
C2,c3,4,4.032161207094776,0.141427,0.202277
H1,h1,5,3.669209860446797,0.128681,0.1139
O1,os,3,3.4659881707818907,-0.387529,-0.364715
C3,c3,2,3.136671165423625,0.511346,0.356569
H2,h2,3,4.103366179126596,0.059192,0.072965
O2,os,3,3.4120999399196967,-0.38478,-0.348878
C4,c3,1,2.1972357634081963,-0.657792,-0.406802
I1,i,0,0.0,-0.070059,-0.234367
C5,c3,5,5.46127100591062,0.109244,0.080961
O3,oh,6,5.701845666097952,-0.644058,-0.648992
H3,h1,5,4.552430230107871,0.08739,0.085792
H4,h1,5,5.275327951890763,0.08739,0.085792
H5,h1,2,2.7053009074777616,0.264912,0.215034
H6,h1,2,2.700835796563723,0.264912,0.215034
H7,h1,6,5.952224710139898,0.033685,0.039163
H8,h1,6,6.102084971548659,0.033685,0.039163
H9,ho,7,6.656607168821066,0.434868,0.438749
X,x,-1,-1.0,0.0,0.082471
