name,type,nb_distance,distance,q_std,q_mod
C1,ca,3,4.388507832965551,-0.173805,-0.222109
C2,ca,4,4.923155289039743,-0.282244,-0.239375
C3,ca,3,4.405778591804177,0.502039,0.426032
C4,ca,2,3.0694589099709413,-0.070901,-0.184788
C5,ca,1,2.1522197843157187,-0.303358,0.008139
C6,ca,2,3.078748447015443,0.001616,-0.097015
I1,i,0,0.0,-0.03043,-0.314455
N1,nh,4,5.4778134323834,-1.133268,-1.058272
H1,ha,4,5.22859646559189,0.158747,0.175804
H2,ha,5,6.010649632111325,0.163123,0.160848
H3,ha,3,3.125163835705258,0.125355,0.170516
H4,ha,3,3.1507983115394738,0.120152,0.155409
H5,hn,5,6.404533004052676,0.461487,0.441956
H6,hn,5,5.520213945129301,0.461487,0.441956
X,x,-1,-1.0,0.0,0.135354
