name,type,nb_distance,distance,q_std,q_mod
C1,c3,8,8.702438796107675,-0.304649,-0.315493
C2,ca,7,7.204407886842611,0.161599,0.171324
C3,ca,6,6.810385671898471,-0.304356,-0.308414
C4,ca,5,5.558811923423925,-0.096224,-0.088504
C5,ca,4,4.4324031856319195,0.190579,0.150248
C6,ca,5,4.9324968322341585,-0.348658,-0.333006
C7,ca,6,6.324467566522894,0.016093,0.008224
N1,no,7,7.058638608117008,0.720127,0.724011
O1,o,8,6.599698477960944,-0.444451,-0.446124
O2,o,8,8.274785314435656,-0.444451,-0.446124
N2,n,3,3.092985289328095,-0.326356,-0.251781
C8,c,2,2.991376606179837,0.568044,0.498317
O3,o,3,4.1185992764531,-0.536102,-0.540771
C9,c3,1,2.0023453748042566,-0.12938,0.066492
H1,h1,2,2.4952296487497896,0.155381,0.137014
C10,c3,2,2.8904646685264983,-0.090833,-0.257169
Br1,br,0,0.0,-0.14568,-0.355861
H2,hc,9,9.136876599801488,0.109923,0.11262
H3,hc,9,9.223969861182331,0.109923,0.11262
H4,hc,9,9.088863075214633,0.109923,0.11262
H5,ha,7,7.687056718926952,0.195661,0.194074
H6,ha,6,5.622424921686371,0.177449,0.183291
H7,ha,6,4.495981872739257,0.242309,0.238859
H8,hn,4,2.451456913755573,0.216675,0.206566
H9,hc,3,3.0775743695319533,0.065818,0.105288
H10,hc,3,3.0365985905285537,0.065818,0.105288
H11,hc,3,3.872897365022729,0.065818,0.105288
X,x,-1,-1.0,0.0,0.111103
