name,type,nb_distance,distance,q_std,q_mod
C1,ca,3,4.393478917668776,-0.167897,-0.231377
C2,ca,4,4.920974192169676,-0.190693,-0.123987
C3,ca,3,4.400140111405544,0.17367,0.084836
C4,ca,2,3.0734506665960977,0.054626,-0.041634
C5,ca,1,2.1449128187411253,-0.316648,-0.006826
C6,ca,2,3.0819977287467295,0.030554,-0.057076
I1,i,0,0.0,-0.007746,-0.306741
C7,c3,4,5.593378406651922,0.033216,0.071048
H1,h2,5,6.485877041696058,0.155725,0.152197
C8,c3,6,7.066745078181326,-0.089186,-0.104401
H2,h1,7,7.339238856993278,0.139216,0.146592
C9,c3,6,6.9951724782166735,0.095151,0.070595
S1,ss,5,5.966967739145235,-0.24479,-0.239535
C10,c,7,8.370008960568681,0.746383,0.748815
O1,oh,8,8.48318678327903,-0.578229,-0.579561
H3,ha,4,5.230583715036019,0.154615,0.173646
H4,ha,5,6.0076299819479555,0.151771,0.142949
H5,ha,3,3.1346626612763293,0.080337,0.121922
H6,ha,3,3.1484313554530607,0.134856,0.168436
H7,h1,7,8.023752364075053,0.061323,0.069243
H8,h1,7,6.801937518089974,0.061323,0.069243
N1,n3,5,5.966746014369976,-0.787683,-0.783102
H9,hn,6,5.258133509145617,0.432593,0.432839
H10,ho,9,7.635015455125157,0.421165,0.422009
O2,o,8,9.362782225385786,-0.543652,-0.543066
X,x,-1,-1.0,0.0,0.142936
