name,type,nb_distance,distance,q_std,q_mod
C1,c3,8,8.702438796107675,-0.295509,-0.306934
C2,ca,7,7.204407886842611,0.16224,0.171711
C3,ca,6,6.810385671898471,-0.313927,-0.317689
C4,ca,5,5.558811923423925,-0.087986,-0.079289
C5,ca,4,4.4324031856319195,0.175187,0.132095
C6,ca,5,4.9324968322341585,-0.33944,-0.324124
C7,ca,6,6.324467566522894,0.014163,0.007137
N1,no,7,7.058638608117008,0.720246,0.723872
O1,o,8,6.599698477960944,-0.444712,-0.446346
O2,o,8,8.274785314435656,-0.444712,-0.446346
N2,n,3,3.092985289328095,-0.311102,-0.231505
C8,c,2,2.991376606179837,0.554956,0.483989
O3,o,3,4.1185992764531,-0.534122,-0.538098
C9,c3,1,2.0023453748042566,-0.120629,0.071773
H1,h1,2,2.4952296487497896,0.153537,0.137012
C10,c3,2,2.8904646685264983,-0.085133,-0.256217
Br1,br,0,0.0,-0.148652,-0.359893
H2,hc,9,9.08864219782031,0.107666,0.110535
H3,hc,9,9.223969861182331,0.107666,0.110535
H4,hc,9,9.136876599801488,0.107666,0.110535
H5,ha,7,7.687056718926952,0.198991,0.197204
H6,ha,6,5.622424921686371,0.176997,0.182384
H7,ha,6,4.495981872739257,0.239816,0.236532
H8,hn,4,2.451456913755573,0.215492,0.204112
H9,hc,3,3.8725127501404044,0.063767,0.104902
H10,hc,3,3.0365985905285537,0.063767,0.104902
H11,hc,3,3.0775743695319533,0.063767,0.104902
X,x,-1,-1.0,0.0,0.112308
