distance,dq
4.03619,0.00871
2.73529,-0.13221
1.75975,0.28532
2.73231,-0.13221
4.02398,0.00871
4.55794,-0.01826
5.96031,0.02993
7.00431,-0.01475
6.98993,0.00158
8.26779,0.00243
9.36389,-0.00019
9.25708,0.00192
8.20235,0.00190
10.47971,-0.00115
0.00000,-0.21740
4.89080,0.00691
2.87260,0.04007
2.87495,0.04007
4.87555,0.00691
6.41809,-0.00949
8.53117,-0.00190
11.29861,-0.00006
10.63916,-0.00006
-1.00000,0.09323
4.03650,-0.01258
2.73497,-0.08421
1.76431,0.20428
2.74493,-0.07396
4.04577,-0.02128
4.56384,0.01810
5.93194,-0.00347
5.12854,0.04459
4.72698,-0.03056
3.27129,0.01425
0.00000,-0.17671
4.88762,0.00693
2.86783,0.03038
6.34374,-0.00008
5.66079,-0.00864
5.97390,-0.00864
5.48505,0.00535
5.04451,0.00535
3.06253,0.00638
3.44780,0.00638
-1.00000,0.07813
3.09625,0.00352
2.74882,-0.08495
4.03113,-0.00383
4.54252,0.00015
4.02498,-0.00735
2.72147,-0.09134
1.76591,0.22007
0.00000,-0.18596
5.90847,0.00622
3.01241,0.00493
4.18538,0.00493
3.01149,0.00493
4.89532,0.01304
4.88436,0.00619
2.83659,0.03229
6.32267,-0.00534
-1.00000,0.08249
3.10220,-0.00211
2.74682,-0.07454
4.02307,-0.00078
4.53469,0.00098
4.04060,-0.00860
2.72036,-0.09664
1.76680,0.19993
0.00000,-0.17501
5.25721,0.00115
5.60567,0.04086
5.60722,0.04086
5.90649,0.00993
3.02130,0.00603
4.19109,0.00603
3.02159,0.00603
4.89122,0.01063
2.81983,0.04363
6.12325,-0.00685
5.76464,-0.01218
5.05276,-0.01218
6.62770,-0.01218
5.76692,-0.01218
6.62880,-0.01218
5.05440,-0.01218
6.29980,-0.00703
-1.00000,0.07859
3.06202,-0.00736
2.73213,-0.04349
4.02372,-0.00680
4.53209,-0.00361
4.02276,-0.00680
2.73213,-0.04349
1.76905,0.13960
0.00000,-0.13653
3.06202,-0.00736
5.91970,0.00019
2.97709,0.00618
4.15099,0.00618
2.97620,0.00618
4.89034,0.00907
4.89034,0.00907
2.97585,0.00618
2.97650,0.00618
4.15099,0.00618
6.32706,0.00019
-1.00000,0.06021
5.32439,0.04240
5.09848,-0.00549
4.13374,-0.02951
5.17181,-0.00216
6.42265,0.01100
6.30892,-0.00346
2.76868,-0.05650
1.81801,0.27986
0.00000,-0.18382
5.69243,-0.01115
4.60810,-0.01115
6.24851,-0.01115
7.40983,-0.00249
2.92542,0.01250
2.93262,0.01250
2.37388,-0.06087
2.37278,-0.06087
-1.00000,0.08033
5.37555,0.03127
4.53222,-0.02701
3.15444,0.03935
2.75948,-0.08517
4.07070,-0.00704
5.21493,-0.00683
4.57798,0.02217
4.04521,-0.01682
2.71652,-0.08294
1.76131,0.19854
0.00000,-0.17845
5.92707,-0.00329
5.16907,0.00086
2.74819,0.00519
2.83502,0.03267
4.88918,0.00684
6.44212,-0.00772
6.24416,-0.00018
-1.00000,0.07854
5.93349,-0.01275
5.88117,0.03364
5.11344,0.03046
5.75084,0.02722
5.59603,0.00033
6.94895,-0.02762
7.55355,0.00371
7.59382,0.02323
8.71794,-0.00334
7.03774,-0.03140
7.71866,0.00533
4.07902,-0.19608
4.79297,0.05613
5.89605,-0.00181
6.76828,-0.00366
2.75654,0.01835
1.81583,0.30247
0.00000,-0.19829
6.91516,0.00434
6.06671,0.00434
5.18869,0.00434
4.27329,-0.00537
5.42109,-0.00537
6.58390,0.00512
5.66521,0.00512
2.91455,-0.00173
2.94865,-0.00173
2.36936,-0.05842
2.37825,-0.05842
-1.00000,0.08188
11.37109,-0.00050
11.37952,0.00144
12.77584,-0.00050
10.43260,0.00007
9.08796,0.00234
8.18163,-0.00287
8.58511,0.00029
