name,type,nb_distance,distance,q_std,q_mod
C1,c3,9,8.19016074323331,-0.209056,-0.211653
C2,c3,8,6.9505691133892045,0.297076,0.309428
N1,n,7,6.363017601735831,-0.859672,-0.861292
C3,c,6,5.61195625428424,0.95534,0.967024
O1,o,7,5.284282922024521,-0.574227,-0.58624
N2,n,5,5.705635547421514,-0.767339,-0.787561
C4,c3,4,5.253123451814169,0.10734,0.146143
C5,ca,3,4.0337105746446404,-0.025578,-0.048942
C6,ca,4,4.531151509274436,-0.151754,-0.135144
C7,ca,3,4.019327680097755,-0.209548,-0.220125
C8,ca,2,2.7273184632528706,-0.04148,-0.144206
C9,ca,1,1.761921961949507,-0.052893,0.205841
C10,ca,2,2.726621535893825,0.001103,-0.125062
Cl1,cl,0,0.0,-0.117425,-0.329223
H1,hc,10,8.934120046204887,0.053172,0.053277
H2,hc,10,8.037378241690508,0.053172,0.053277
H3,hc,10,8.74311780773884,0.053172,0.053277
H4,h1,9,7.359376604033796,0.017217,0.013739
H5,h1,9,6.272235167785086,0.017217,0.013739
H6,hn,8,7.06333943683864,0.389952,0.389414
H7,hn,6,5.9178129406056765,0.375952,0.381202
H8,h1,5,5.353050438768534,0.070885,0.065662
H9,h1,5,6.135473412867176,0.070885,0.065662
H10,ha,5,5.618323771375231,0.142388,0.141065
H11,ha,4,4.875616884046572,0.160152,0.167734
H12,ha,3,2.8596003217232995,0.129981,0.164719
H13,ha,3,2.8724759354953697,0.113967,0.16535
X,x,-1,-1.0,0.0,0.092898
