name,type,nb_distance,distance,q_std,q_mod
C1,c3,6,6.91207711183838,-0.106449,-0.10942
O1,os,5,6.062121740776904,-0.214169,-0.212872
C2,ca,4,4.714267917715327,0.30347,0.311203
C3,ca,3,4.186443000925726,-0.378544,-0.35041
C4,ca,2,2.879115489173715,0.486943,0.3107
C5,ca,1,1.903832450611135,-0.281743,0.028019
C6,ca,2,2.8629037706496527,-0.064796,-0.176869
C7,ca,3,4.192834125028082,-0.169181,-0.205485
C8,c,4,5.300902281687525,0.458241,0.505463
O2,o,5,6.473878049515607,-0.509152,-0.519943
Br1,br,0,0.0,-0.057139,-0.329529
O3,os,3,3.0051702114855323,-0.29833,-0.219308
C9,c3,4,4.410078684105307,-0.081628,-0.126732
H1,h1,7,7.905608452231871,0.098431,0.099173
H2,h1,7,6.901168379339834,0.098431,0.099173
H3,h1,7,6.900835094392562,0.098431,0.099173
H4,ha,4,5.027596741983191,0.148758,0.149603
H5,ha,3,2.954700661657624,0.163474,0.207925
H6,h4,5,5.156487273328618,0.017007,0.000545
H7,h1,5,4.691318045070064,0.095982,0.105368
H8,h1,5,4.97000372233261,0.095982,0.105368
H9,h1,5,4.969306893320234,0.095982,0.105368
X,x,-1,-1.0,0.0,0.123486
