name,type,nb_distance,distance,q_std,q_mod
N1,nc,5,5.9382260819204244,-0.557552,-0.549528
C1,cd,4,4.617813335335242,0.178396,0.26038
N2,na,3,4.107273791701742,0.378775,0.305847
C2,cd,4,5.350456148778345,-0.52139,-0.454081
C3,cc,5,6.286367790703944,0.144859,0.102957
C4,cc,2,2.8207523819009706,-0.346706,-0.457509
C5,cd,1,1.9183964658015817,0.111634,0.400519
N3,nc,2,2.785486851521651,-0.475379,-0.465783
C6,cd,3,4.032618256170549,0.537504,0.358001
N4,nh,4,5.10530361486954,-0.546602,-0.432253
C7,c3,5,5.335618614556329,0.227882,0.155188
C8,c3,6,6.857936715951818,-0.147603,-0.15491
Br1,br,0,0.0,-0.074241,-0.370282
H1,hc,7,7.350254485390285,0.046797,0.050528
H2,hc,7,7.260443237158459,0.046797,0.050528
H3,hc,7,7.350254485390285,0.046797,0.050528
H4,h1,6,5.018520698373177,0.011022,0.033028
H5,h1,6,5.018345643735593,0.011022,0.033028
H6,hn,5,5.99331043747944,0.308877,0.285437
H7,h4,6,7.352959268213036,0.144431,0.152069
H8,h4,5,5.640207442993564,0.26789,0.251034
H9,h4,3,2.99561496190682,0.206792,0.255811
X,x,-1,-1.0,0.0,0.139461
