name,type,nb_distance,distance,q_std,q_mod
C1,ca,3,4.403917460625255,-0.336614,-0.38998
C2,ca,2,3.0889987050822794,0.011747,-0.085936
C3,ca,1,2.1470000000000002,-0.259274,0.047639
C4,ca,2,3.0889987050822794,0.011747,-0.085936
C5,ca,3,4.403917460625255,-0.336614,-0.38998
C6,ca,4,4.959,0.567599,0.594707
N1,nh,5,6.335000000000001,-1.118368,-1.092595
I1,i,0,0.0,-0.065807,-0.366369
H1,ha,4,5.23420719880289,0.162404,0.182407
H2,ha,3,3.1584515193366514,0.143938,0.181625
H3,ha,3,3.1584515193366514,0.143938,0.181625
H4,ha,4,5.23420719880289,0.162404,0.182407
H5,hn,6,6.909852169185677,0.45645,0.447099
H6,hn,6,6.909852169185677,0.45645,0.447099
X,x,-1,-1.0,0.0,0.146188
