name,type,nb_distance,distance,q_std,q_mod
S1,ss,3,3.5321411353455288,-0.22657,-0.208947
C1,c2,4,5.1017942922073996,0.528429,0.51448
N1,n2,4,5.345291572964005,-0.55946,-0.512487
C2,c3,3,4.340171655591516,0.159992,0.09892
C3,c3,2,2.9105102645412537,0.060441,-0.040962
N2,nh,5,6.2052057983599544,-0.650067,-0.651336
C4,ca,6,7.551169114779512,0.75912,0.758536
N3,nb,7,8.427136346351588,-0.682363,-0.681147
C5,ca,8,9.714915439673163,0.317201,0.320803
C6,ca,9,10.261312050610291,-0.413208,-0.419856
C7,ca,8,9.515995481293588,0.045488,0.053294
C8,ca,7,8.124770273675434,-0.399511,-0.403392
C9,c3,1,1.9784969042179468,-0.517217,-0.140738
Br1,br,0,0.0,-0.07985,-0.287142
H1,h1,3,3.029115547482466,0.120205,0.138576
H2,ha,9,10.115233808469283,0.147457,0.14682
H3,ha,10,11.344337265790363,0.172264,0.173497
H4,h4,9,10.447124819776969,0.08588,0.084907
H5,ha,8,7.621162706569123,0.160602,0.154605
H6,h1,4,4.545080087303193,0.052666,0.059044
H7,h1,4,4.780026464361887,0.052666,0.059044
H8,h1,2,2.5057727351058796,0.23781,0.151813
H9,h1,2,2.4999569996301934,0.23781,0.151813
H10,hn,6,6.212560261277149,0.390215,0.389011
X,x,-1,-1.0,0.0,0.090843
