name,type,nb_distance,distance,q_std,q_mod
C1,ca,3,4.397109163984902,-0.209352,-0.269527
C2,ca,2,3.0800224025159295,0.024904,-0.063504
C3,ca,1,2.143,-0.245043,0.068174
C4,ca,2,3.08019041619183,0.024904,-0.063504
C5,ca,3,4.397228445282324,-0.209352,-0.269527
C6,ca,4,4.928000101461038,0.166096,0.185333
N1,n,5,6.354000078690588,-0.267909,-0.223319
C7,c,6,7.2624214281464,0.632922,0.611601
O1,o,7,7.169679281529962,-0.510145,-0.504247
C8,cc,7,8.612849992888533,-0.252342,-0.251322
C9,cd,7,8.611959416996807,-0.252342,-0.251322
C10,c,6,7.261434155867559,0.632922,0.611601
O2,o,7,7.1686705183039345,-0.510145,-0.504247
I1,i,0,0.0,-0.034812,-0.35037
H1,ha,4,5.226589136329735,0.169881,0.188968
H2,ha,3,3.1499060303443973,0.129592,0.165228
H3,ha,3,3.1501982477298154,0.129592,0.165228
H4,ha,4,5.226393976730036,0.169881,0.188968
H5,ha,8,9.517453073170364,0.205374,0.206402
H6,ha,8,9.516547956060538,0.205374,0.206402
X,x,-1,-1.0,0.0,0.152984
