name,type,nb_distance,distance,q_std,q_mod
C1,ca,3,4.025007577632618,-0.211379,-0.218549
C2,ca,2,2.729904943400044,-0.042797,-0.164825
C3,ca,1,1.7584999289166887,-0.038136,0.241754
C4,ca,2,2.729357067149697,-0.042797,-0.164825
C5,ca,3,4.024124625306726,-0.211379,-0.218549
C6,ca,4,4.561858722056174,0.047088,0.040894
C7,c3,5,6.08424202345699,0.089574,0.124366
H1,hc,6,6.492807867171181,0.079186,0.067418
C8,c3,6,6.837403381401451,-0.345447,-0.344694
C9,c,7,8.187953285162294,0.770952,0.775647
O1,oh,8,9.07369301883197,-0.598707,-0.601461
O2,o,8,8.603886621754146,-0.579411,-0.58169
C10,c3,6,6.726044082519828,0.055074,0.048282
N1,n3,7,8.178252258276213,-0.576638,-0.58132
Cl1,cl,0,0.0,-0.112825,-0.335322
H2,ha,4,4.874533208421089,0.139026,0.148951
H3,ha,3,2.868895432043489,0.138203,0.177906
H4,ha,3,2.86715067619405,0.138203,0.177906
H5,ha,4,4.869360327599509,0.139026,0.148951
H6,hc,7,6.3531186829776765,0.121094,0.11828
H7,hc,7,7.157690898606896,0.121094,0.11828
H8,h1,7,6.681282736121859,0.034758,0.036525
H9,h1,7,6.3800929460314295,0.034758,0.036525
H10,hn,8,8.470981997383774,0.280003,0.280414
H11,ho,9,8.764107997965338,0.291473,0.293811
H12,hn,8,8.727189238237015,0.280003,0.280414
X,x,-1,-1.0,0.0,0.09491
