name,type,nb_distance,distance,q_std,q_mod
N1,nc,7,7.692893018884378,-0.296105,-0.291334
N2,na,6,7.565551004388246,0.420278,0.415447
C1,cc,7,8.867433732484274,0.81435,0.818325
N3,nd,8,9.66709563416024,-0.507639,-0.509071
N4,nd,8,8.973470398903649,-0.060639,-0.061734
N5,n2,5,6.512266579310157,-0.635236,-0.656397
C2,ce,4,5.305320442725397,0.384713,0.451779
C3,ca,3,4.188977918299403,-0.171042,-0.243578
C4,ca,4,4.709203329651418,0.459573,0.508107
C5,ca,3,4.172823624357973,-0.340446,-0.384481
C6,ca,2,2.8714102806809065,0.030628,-0.045968
C7,ca,1,1.908219064992277,-0.140157,0.11313
C8,ca,2,2.8618651261022063,-0.110681,-0.189277
O1,oh,5,6.055270927051902,-0.596756,-0.606361
Br1,br,0,0.0,-0.068727,-0.32599
N6,nh,8,9.39947120853083,-1.213311,-1.210391
H1,ha,3,2.971841516635771,0.143145,0.175193
H2,ha,4,5.029031517101479,0.202968,0.217129
H3,ha,3,2.969030144676877,0.17705,0.215148
H4,h4,5,5.297879764585074,0.067276,0.045277
H5,hn,9,8.916953964218948,0.511463,0.51034
H6,hn,9,10.406293144054708,0.511463,0.51034
H7,ho,6,6.457352863209505,0.417833,0.424041
X,x,-1,-1.0,0.0,0.120326
