name,type,nb_distance,distance,q_std,q_mod
C1,c3,8,9.136418280704971,-0.291166,-0.292346
C2,c3,7,8.577520037866423,0.283738,0.295213
H1,h1,8,9.420770509889305,0.06339,0.060717
C3,c3,7,8.0839875061754,-0.184655,-0.195206
C4,c3,6,6.614633020810754,0.278525,0.289817
H2,h2,7,6.615357662288563,0.076817,0.07446
N1,n,5,6.355192365302565,-0.124643,-0.143975
O1,os,6,7.605475001602465,-0.336572,-0.339595
C5,c,4,5.2204905899733225,0.611629,0.666563
O2,o,5,5.417122298785583,-0.523384,-0.539073
C6,ca,3,4.028979523402918,-0.212218,-0.266617
C7,ca,2,2.7278764634785064,-0.005041,-0.099518
C8,ca,1,1.7578910660220106,-0.063072,0.19066
C9,ca,2,2.730183327177866,-0.043924,-0.147411
C10,ca,3,4.02746508364753,-0.237965,-0.255981
C11,ca,4,4.535241338672067,0.274076,0.310806
O3,os,5,5.910810519717241,-0.374815,-0.382666
Cl1,cl,0,0.0,-0.10486,-0.316115
H3,hc,9,8.450772094903519,0.090719,0.090577
H4,hc,9,9.605415451712643,0.090719,0.090577
H5,hc,9,9.977467614580366,0.090719,0.090577
H6,hc,8,8.736384149063044,0.080475,0.082491
H7,hc,8,8.267560946252528,0.080475,0.082491
H8,ha,3,2.8974459442757516,0.152971,0.188813
H9,ha,3,2.8623226582619927,0.15452,0.190178
H10,ha,4,4.892095767664407,0.173542,0.182167
X,x,-1,-1.0,0.0,0.092395
