name,type,nb_distance,distance,q_std,q_mod
C1,c3,3,4.330216391821545,-0.134114,-0.194212
C2,c3,2,2.8713009246681196,0.107913,0.098095
C3,c3,1,2.0448007237870396,-0.090263,0.131783
C4,c3,2,2.892416809521062,0.107913,0.098095
C5,c3,3,3.3560870072153968,-0.134114,-0.194212
C6,c,2,2.953352840417142,0.557343,0.529777
O1,o,3,4.0488937995457475,-0.494641,-0.503881
N1,n,3,3.066463272240514,-0.442161,-0.444066
C7,c,4,4.427082334901848,0.812305,0.81363
O2,o,5,5.3875874006831665,-0.544377,-0.544114
N2,n,5,4.820577351313844,-0.93192,-0.953016
Br1,br,0,0.0,-0.182827,-0.45242
H1,hc,4,5.025203876461133,0.044577,0.057441
H2,hc,4,4.722266087377966,0.044577,0.057441
H3,hc,4,4.713025143153811,0.044577,0.057441
H4,hc,3,2.9164514396780206,0.016521,0.018455
H5,hc,3,2.9742296481610158,0.016521,0.018455
H6,hc,3,3.866436731669096,0.016521,0.018455
H7,hc,3,2.9876146003124298,0.016521,0.018455
H8,hc,4,4.277161909490919,0.044577,0.057441
H9,hc,4,2.8847989531334766,0.044577,0.057441
H10,hc,4,3.8667739783959445,0.044577,0.057441
H11,hn,4,2.454037285780312,0.241959,0.269436
H12,hn,6,4.431760823871252,0.396717,0.40444
H13,hn,6,5.822827320125508,0.396717,0.40444
X,x,-1,-1.0,0.0,0.117763
