name,type,nb_distance,distance,q_std,q_mod
C1,c3,5,4.985539188493056,-0.161904,-0.159116
C2,c3,4,5.02852632487889,0.010482,0.060447
C3,c3,3,4.151432282959702,0.59409,0.449578
C4,c2,2,2.7143966180350287,-0.170818,-0.268961
C5,c2,1,1.7515264771050425,-0.192644,0.030253
Cl1,cl,0,0.0,-0.109442,-0.281189
C6,c1,4,5.0083012089929255,-0.253118,-0.170295
C7,c1,5,5.882872172672121,-0.322042,-0.352677
O1,oh,4,4.534568557205857,-0.684199,-0.64606
H1,hc,6,4.197655297901437,0.047077,0.045628
H2,hc,6,5.922848892213949,0.047077,0.045628
H3,hc,6,5.207242168365132,0.047077,0.045628
H4,hc,5,6.027449958315705,0.025891,0.019331
H5,hc,5,5.173821604964748,0.025891,0.019331
H6,ha,3,2.8913943003333182,0.159183,0.198413
H7,h4,2,2.395686331722081,0.203947,0.161422
H8,ha,6,6.745103483268437,0.297917,0.303957
H9,ho,5,4.532658601747985,0.435534,0.42632
X,x,-1,-1.0,0.0,0.072364
