name,type,nb_distance,distance,q_std,q_mod
C1,ca,3,4.396644743437887,-0.201795,-0.233443
C2,ca,4,4.9264499388504905,-0.047151,-0.021556
C3,ca,3,4.400466338923637,0.042986,-0.025337
C4,ca,2,3.075955298764922,0.124986,-0.000508
C5,ca,1,2.1453507871674504,-0.315971,0.017734
C6,ca,2,3.082121834061723,0.027033,-0.084684
I1,i,0,0.0,-0.018412,-0.32488
C7,c3,4,5.571858756285914,-0.13449,-0.062252
H1,h2,5,5.38360901254911,0.188419,0.164537
C8,c3,6,7.975853622026923,0.042287,0.028576
H2,h1,7,8.645283453999642,0.091122,0.094749
C9,c3,6,8.086993569924488,-0.104858,-0.104983
S1,ss,5,6.712859599306394,-0.143749,-0.146819
C10,c,7,8.741847573596786,0.679181,0.679832
O1,oh,8,8.298164676601688,-0.508006,-0.509578
H3,ha,4,5.232491758235267,0.156062,0.169882
H4,ha,5,6.011372638590957,0.12985,0.129076
H5,ha,3,3.131724764406987,0.05638,0.10809
H6,ha,3,3.1529251497617254,0.13681,0.174365
H7,h1,7,9.013907698662107,0.114863,0.114298
H8,h1,7,8.235685399528082,0.114863,0.114298
N1,n3,5,6.622535617118265,-0.504565,-0.498952
H9,hn,6,6.633776450861154,0.327107,0.324337
H10,ho,9,7.412804732353336,0.303931,0.304616
O2,o,8,9.832595181334378,-0.556882,-0.55581
X,x,-1,-1.0,0.0,0.144411
