name,type,nb_distance,distance,q_std,q_mod
C1,c3,7,8.522472469888067,-0.205052,-0.206083
N1,n,6,7.2715325757367,-0.107722,-0.110579
C2,cc,5,6.1018061260580865,0.408809,0.422335
C3,cd,4,4.927052262763203,-0.308354,-0.321586
C4,c,5,5.108105030243603,0.510628,0.501676
O1,o,6,4.484275415270565,-0.48718,-0.4853
N2,n,6,6.482822687687825,-0.197713,-0.186008
C5,c,7,7.471412583976339,0.515558,0.512782
O2,o,8,8.622416830564386,-0.533937,-0.533875
C6,c3,7,7.191270680484778,-0.046943,-0.040845
N3,na,3,4.061774981458229,0.007828,-0.013717
C7,cd,4,5.019377052981774,0.212766,0.229598
N4,nc,5,6.175932399241429,-0.583574,-0.588538
C8,c3,2,2.7320913235102515,-0.1627,-0.238966
C9,c3,1,1.8102621357140516,-0.116987,0.113423
Cl1,cl,0,0.0,-0.181553,-0.350938
H1,h1,8,9.308042167931987,0.113907,0.114067
H2,h1,8,8.830593921135769,0.113907,0.114067
H3,h1,8,8.54233943366804,0.113907,0.114067
H4,h1,8,8.011613071036319,0.069693,0.067452
H5,h1,8,7.728989261216501,0.069693,0.067452
H6,h1,8,6.590520009832305,0.069693,0.067452
H7,h5,5,5.045029335890922,0.161418,0.155667
H8,h1,3,2.8808755613528327,0.138407,0.160867
H9,h1,3,2.9533394657573653,0.138407,0.160867
H10,h1,2,2.376755140943214,0.143548,0.09848
H11,h1,2,2.3767109626540623,0.143548,0.09848
X,x,-1,-1.0,0.0,0.077701
