name,type,nb_distance,distance,q_std,q_mod
C1,c3,6,6.269981259940097,-0.264606,-0.250318
C2,cc,5,6.119893544825759,0.468696,0.446552
N1,nd,6,7.157621741891646,-0.578837,-0.575629
C3,cd,6,7.070838493417877,0.116223,0.10535
C4,cc,5,5.958060506574266,-0.14387,-0.158124
N2,na,4,5.240801274614408,-0.011508,0.080975
C5,c3,3,4.131913116221105,-0.280767,-0.43726
C6,c3,2,2.751991824115762,0.338907,0.265456
H1,h1,3,2.946550186234743,0.080081,0.092457
C7,c3,1,1.8181889340769841,-0.386723,-0.019129
Cl1,cl,0,0.0,-0.157454,-0.344748
O1,oh,3,3.1056162029458823,-0.613561,-0.608475
N3,no,6,5.906117083160475,0.72223,0.725072
O2,o,7,6.95658687863524,-0.44728,-0.447273
O3,o,7,5.066604582952966,-0.44728,-0.447273
H2,hc,7,6.528291966510076,0.100785,0.098444
H3,hc,7,7.213685673773151,0.100785,0.098444
H4,hc,7,5.5159518670851355,0.100785,0.098444
H5,h4,7,7.937578661027555,0.174672,0.178958
H6,h1,4,4.392806961385852,0.150001,0.177844
H7,h1,4,4.464323688981344,0.150001,0.177844
H8,h1,2,2.3746227068736623,0.210747,0.128288
H9,h1,2,2.370507329665952,0.210747,0.128288
H10,ho,4,2.6638545380707255,0.407226,0.41292
X,x,-1,-1.0,0.0,0.072893
