name,type,nb_distance,distance,q_std,q_mod
C1,ca,2,2.86279775743939,-0.008302,-0.079478
C2,ca,3,4.1686212348929,-0.287283,-0.33144
C3,ca,4,4.687022509013585,0.354031,0.395958
C4,ca,3,4.1541539451493605,-0.112422,-0.169031
C5,ca,2,2.8562459627980217,-0.047385,-0.133532
C6,ca,1,1.9071877201785878,-0.157745,0.09155
Br1,br,0,0.0,-0.045626,-0.296373
N1,n,4,5.320832547637634,-0.039593,-0.002322
C7,cc,5,6.554288214596609,0.399823,0.390814
N2,n2,6,7.543271770259905,-0.379903,-0.380075
O1,os,6,7.121469160222489,-0.214814,-0.214379
C8,c,5,5.7689095156710515,0.695549,0.689625
O2,o,6,5.375474490684519,-0.538482,-0.540209
C9,c3,6,6.842405205773771,-0.012716,-0.003214
O3,os,5,6.062544432826863,-0.359249,-0.364305
H1,ha,3,2.9660109574983027,0.145548,0.175194
H2,ha,4,5.027953957625309,0.183954,0.197814
H3,ha,3,2.9829735164764704,0.17376,0.213261
H4,h1,7,6.937462504403177,0.125428,0.122582
H5,h1,7,7.852858906156407,0.125428,0.122582
X,x,-1,-1.0,0.0,0.114978
