name,type,nb_distance,distance,q_std,q_mod
C1,ca,3,4.394357859801588,-0.169566,-0.23247
C2,ca,4,4.921439423583307,-0.177962,-0.114523
C3,ca,3,4.399458830356298,0.159234,0.071858
C4,ca,2,3.0727585326543316,0.05867,-0.036942
C5,ca,1,2.144765022094495,-0.312134,0.002281
C6,ca,2,3.081959928357278,0.031626,-0.059568
I1,i,0,0.0,-0.010005,-0.316064
C7,c3,4,5.592812798583554,0.022926,0.059283
H1,h2,5,6.485371616183609,0.160483,0.15696
C8,c3,6,7.065676329977195,-0.06238,-0.074689
H2,h1,7,7.337093293668821,0.129817,0.136125
C9,c3,6,6.994127894169508,0.083139,0.060034
S1,ss,5,5.967111361454553,-0.242015,-0.236741
C10,c,7,8.36901314373445,0.739203,0.740738
O1,oh,8,8.482217929291842,-0.575966,-0.577195
H3,ha,4,5.230413941553766,0.15392,0.173259
H4,ha,5,6.0080952888581916,0.148324,0.14092
H5,ha,3,3.13369829434807,0.0817,0.122986
H6,ha,3,3.1491425817196648,0.133076,0.168556
H7,h1,7,6.799842571707083,0.062834,0.070041
H8,h1,7,8.021639046977867,0.062834,0.070041
N1,n3,5,5.964779794761916,-0.778278,-0.774381
H9,ho,9,7.634062221386462,0.416546,0.417443
H10,hn,6,5.257201727154857,0.427006,0.427523
O2,o,8,9.361772107886413,-0.543032,-0.542357
X,x,-1,-1.0,0.0,0.146883
