name,type,nb_distance,distance,q_std,q_mod
C1,ca,9,9.892953098039028,-0.666785,-0.659289
C2,ca,8,9.32434737662642,0.48591,0.478284
N1,nb,7,8.05930108632256,-0.824816,-0.8187
C3,ca,6,7.299083572613757,1.242768,1.237615
N2,nb,7,7.873111011537942,-0.824816,-0.8187
C4,ca,8,9.16843776223627,0.48591,0.478284
N3,nh,5,5.9925507924422305,-0.900826,-0.891396
C5,c2,4,5.036242448492725,0.698945,0.681662
N4,n2,4,5.293009446430263,-0.484057,-0.475289
C6,c3,3,4.576573936909574,-0.039727,-0.059568
C7,c3,2,3.1472402196209934,-0.043695,-0.193738
H1,h1,3,3.2398138835433126,0.185378,0.205718
S1,ss,3,3.775183306807763,-0.216048,-0.189715
C8,c3,1,2.205626895011937,-0.559357,-0.035138
I1,i,0,0.0,-0.088425,-0.356668
H2,ha,10,10.954853308009197,0.214249,0.212934
H3,h4,9,10.018510967204659,0.087007,0.088417
H4,h4,9,9.754410797172733,0.087007,0.088417
H5,hn,6,5.891282882361023,0.418157,0.411951
H6,h1,4,4.752022095908225,0.104072,0.108238
H7,h1,4,5.275630199322162,0.104072,0.108238
H8,h1,2,2.687603579399313,0.267538,0.137732
H9,h1,2,2.7060290094527812,0.267538,0.137732
X,x,-1,-1.0,0.0,0.122979
