name,type,nb_distance,distance,q_std,q_mod
C1,cc,10,11.254060822654194,-0.297326,-0.287035
C2,cc,9,9.939548530994756,0.153814,0.145275
C3,cd,8,8.975825755884523,-0.341669,-0.338787
S1,ss,9,9.922394922598071,-0.04043,-0.035832
C4,cd,10,11.379072457806041,-0.110323,-0.118525
C5,c,7,7.507799278084091,0.683031,0.692191
O1,o,8,7.146822300855114,-0.558258,-0.55644
N1,n,6,6.808965927363714,-0.143246,-0.167441
N2,n2,5,5.46383317827329,-0.310959,-0.310852
C6,ce,4,5.177077650566968,0.011501,0.086057
C7,cc,3,3.9443997008416884,0.340532,0.206052
C8,cd,3,4.064413364804323,-0.422053,-0.374674
C9,cd,2,2.948046980629718,0.010178,-0.147862
C10,cc,1,1.8636654742737495,-0.067947,0.25045
O2,os,2,2.753968954073375,-0.147431,-0.155363
Br1,br,0,0.0,0.014812,-0.299223
H1,ha,11,12.15798605855427,0.182478,0.180403
H2,ha,10,9.78732803169486,0.12036,0.120754
H3,h4,11,12.32946369474358,0.209911,0.21136
H4,hn,7,7.435464813984395,0.251513,0.250269
H5,h4,5,6.075303613812235,0.114355,0.105597
H6,ha,4,5.08715568859456,0.2142,0.218256
H7,ha,3,3.2794953880132227,0.132957,0.177254
X,x,-1,-1.0,0.0,0.148116
