name,type,nb_distance,distance,q_std,q_mod
C1,c3,7,7.236040768265474,-0.385868,-0.383366
C2,cc,6,7.05598193024897,0.441318,0.435799
C3,cd,5,6.030010779426518,-0.08689,-0.068957
N1,na,6,6.869770665750058,-0.423575,-0.433097
H1,hn,7,6.729004829839253,0.357839,0.361096
C4,cd,7,8.129627605247364,0.244679,0.244435
N2,nc,7,8.265035450619676,-0.614108,-0.612209
C5,ca,4,4.56769679379006,0.049159,0.033828
C6,ca,3,4.025710372095836,-0.144023,-0.130618
C7,ca,2,2.7312956632338428,-0.085253,-0.223636
C8,ca,1,1.7585860797811403,-0.013618,0.273687
C9,ca,2,2.7309377510298543,-0.085253,-0.223636
C10,ca,3,4.023876116383306,-0.144023,-0.130618
Cl1,cl,0,0.0,-0.116789,-0.334327
H2,hc,8,8.188368946255412,0.109263,0.108908
H3,hc,8,6.491420491695172,0.109263,0.108908
H4,hc,8,7.465932359725743,0.109263,0.108908
H5,h5,8,9.015540638253482,0.129858,0.129948
H6,ha,4,4.872146754768374,0.131206,0.136035
H7,ha,3,2.86908922830922,0.143173,0.18565
H8,ha,3,2.868795043219365,0.143173,0.18565
H9,ha,4,4.869309293934818,0.131206,0.136035
X,x,-1,-1.0,0.0,0.091575
