name,type,nb_distance,distance,q_std,q_mod
C1,c3,7,7.7610977316356475,-0.272432,-0.277909
C2,cc,6,6.683884349687688,0.495744,0.481299
C3,cc,6,7.01087540896285,-0.55876,-0.539053
C4,cd,5,6.007932173385448,0.251912,0.228207
N1,n,4,4.9426177274800445,0.033094,0.028336
N2,nd,5,5.479752366667676,-0.530482,-0.515075
C5,c,3,3.7081119184835827,0.557908,0.649059
O1,o,4,3.5479890078747425,-0.528557,-0.530437
C6,cc,2,3.2104096311841577,0.41605,0.13996
C7,cc,1,2.104675034298644,-0.44252,0.006759
C8,cd,2,3.103885468247822,-0.11689,-0.264983
N3,na,3,4.241123200285509,0.37434,0.343646
N4,nd,3,4.32865025152183,-0.534045,-0.475119
C9,c3,4,5.5970550292095576,-0.289262,-0.255086
I1,i,0,0.0,0.055884,-0.282757
C10,c3,6,6.29957395384799,-0.341698,-0.329276
H1,hc,8,8.220978348104317,0.085348,0.087506
H2,hc,8,7.508727322256416,0.085348,0.087506
H3,hc,8,8.616893523770617,0.085348,0.087506
H4,ha,7,8.014091464414415,0.230203,0.226041
H5,h4,3,3.414378127858718,0.200729,0.237707
H6,h1,5,6.077474475470876,0.126027,0.119772
H7,h1,5,5.750764210085474,0.126027,0.119772
H8,h1,5,6.260014456852316,0.126027,0.119772
H9,hc,7,5.836195164659934,0.121552,0.118587
H10,hc,7,7.371593925332567,0.121552,0.118587
H11,hc,7,6.236587929308782,0.121552,0.118587
X,x,-1,-1.0,0.0,0.151088
