name,type,nb_distance,distance,q_std,q_mod
C1,ca,3,4.396281269436705,-0.212692,-0.272155
C2,ca,2,3.0793046292953874,-0.020414,-0.10599
C3,ca,1,2.1445081021064016,-0.232145,0.064535
C4,ca,2,3.081535493873144,-0.020414,-0.10599
C5,ca,3,4.3989978404177466,-0.212692,-0.272155
C6,ca,4,4.913743684808967,0.336223,0.371768
O1,os,5,6.301410477028139,-0.438286,-0.431529
C7,ca,6,7.1723587473020345,0.909994,0.903783
C8,ca,7,8.512315901092958,-0.87172,-0.874057
C9,ca,8,9.44242214688583,0.85758,0.862042
N1,nb,9,9.330095444313525,-0.804249,-0.806028
C10,ca,8,8.116630335305409,1.000863,1.00013
N2,nb,7,6.930828377618364,-0.815896,-0.812764
N3,nh,9,8.245504775330616,-0.954048,-0.953899
F1,f,9,10.727268524652489,-0.229419,-0.229993
I1,i,0,0.0,-0.031947,-0.327354
H1,ha,4,5.24150455499182,0.169405,0.189042
H2,ha,3,3.1483916528919975,0.144454,0.17847
H3,ha,3,3.1476943943146707,0.144454,0.17847
H4,ha,4,5.236653988951342,0.169405,0.189042
H5,ha,8,8.903470110018903,0.278663,0.278371
H6,hn,10,7.5148671977620465,0.41644,0.416756
H7,hn,10,9.197769784029171,0.41644,0.416756
X,x,-1,-1.0,0.0,0.142749
