name,type,nb_distance,distance,q_std,q_mod
C1,c3,6,5.933492226336865,-0.088851,-0.101598
C2,cc,5,5.881170121667966,0.131809,0.165452
C3,cd,4,5.113444827119972,0.006323,0.036785
C4,c,5,5.75083689561789,0.524051,0.551269
O1,o,6,5.596029574618061,-0.544539,-0.544208
N1,n,6,6.948947186444864,-0.471993,-0.499616
H1,hn,7,7.553549761535963,0.351317,0.355024
C5,c,7,7.593815970906854,0.640709,0.663939
O2,o,8,8.717937026613578,-0.569028,-0.572369
N2,n,6,7.037737491552239,-0.436804,-0.468204
H2,hn,7,7.718655971087196,0.343691,0.349025
N3,nh,3,4.079015812668541,-0.202102,-0.398181
C6,c3,4,4.792969956091943,-0.158467,-0.10234
C7,c3,5,5.89604723522463,0.173843,0.172032
F1,f,6,6.768284346863687,-0.274208,-0.277871
C8,c3,2,2.7565394972682693,-0.050613,-0.032268
C9,c3,1,1.8158276349918239,-0.21111,0.091361
Cl1,cl,0,0.0,-0.184641,-0.382936
H3,hc,7,6.9151562527538015,0.057133,0.061471
H4,hc,7,6.0667098991133575,0.057133,0.061471
H5,hc,7,5.188693958984284,0.057133,0.061471
H6,h1,5,4.273294396598484,0.130955,0.12558
H7,h1,5,5.421090111776413,0.130955,0.12558
H8,h1,6,6.5839011991371805,0.040547,0.045666
H9,h1,6,5.665207763180446,0.040547,0.045666
H10,h1,3,2.9145493648246896,0.104357,0.10263
H11,h1,3,2.948654778030144,0.104357,0.10263
H12,h1,2,2.369356241682538,0.148746,0.090329
H13,h1,2,2.378250197098699,0.148746,0.090329
X,x,-1,-1.0,0.0,0.081881
