name,type,nb_distance,distance,q_std,q_mod
C1,ca,4,4.917827365819179,-0.1219,-0.097823
C2,ca,3,4.393359648378447,-0.202018,-0.248136
C3,ca,2,3.0680392761501603,0.011513,-0.100018
C4,ca,1,2.140348102529119,-0.288948,0.086192
C5,ca,2,3.089361908226357,0.41488,0.182593
C6,ca,3,4.402947308337905,-0.273692,-0.259607
O1,os,3,3.1605749476954346,-0.285814,-0.162998
C7,c3,4,4.569130004716434,0.18053,0.147651
C8,c3,5,5.387231756663157,-0.040111,-0.050827
C9,c3,6,5.854629450272665,-0.008673,-0.007482
C10,c3,6,5.157573460455993,-0.008673,-0.007482
C11,c3,5,4.959584055140108,-0.040111,-0.050827
I1,i,0,0.0,-0.04274,-0.382075
H1,ha,5,6.0042858026579635,0.156417,0.153425
H2,ha,4,5.220423258702305,0.144568,0.162319
H3,ha,3,3.110460576827811,0.129843,0.171519
H4,ha,4,5.249703039220409,0.14252,0.146326
H5,h1,5,5.126540451415554,0.014355,0.025
H6,hc,6,5.036891203907426,0.018977,0.023217
H7,hc,6,6.34234191762002,0.018977,0.023217
H8,hc,7,6.891743538466881,0.010537,0.011076
H9,hc,7,6.015026849482885,0.010537,0.011076
H10,hc,7,5.9630342108694965,0.010537,0.011076
H11,hc,7,4.331352675550677,0.010537,0.011076
H12,hc,6,6.009354125028745,0.018977,0.023217
H13,hc,6,4.519752426848179,0.018977,0.023217
X,x,-1,-1.0,0.0,0.155075
