name,type,nb_distance,distance,q_std,q_mod
C1,cc,4,5.3531122723141165,-0.121918,-0.08421
C2,cc,5,6.3578503442594485,-0.183187,-0.224743
C3,cd,5,5.909275590121009,0.136616,0.178333
O1,os,4,4.585072954708572,-0.177173,-0.221472
C4,cd,3,4.126340509458714,-0.043419,-0.025794
C5,c,2,2.761570748686334,0.730935,0.582093
O2,o,3,2.9785227882290912,-0.52343,-0.490084
C6,c3,1,1.7859036928121292,-0.314177,0.108397
Cl1,cl,0,0.0,-0.119508,-0.351724
N1,no,6,6.862881683374702,0.741583,0.736267
O3,o,7,8.02790695013339,-0.432826,-0.432824
O4,o,7,6.634006783234397,-0.432826,-0.432824
H1,ha,5,5.674305772515259,0.195885,0.186215
H2,ha,6,7.420763168300145,0.203973,0.21185
H3,h1,2,2.3729302560336656,0.169736,0.08338
H4,h1,2,2.3724523177505588,0.169736,0.08338
X,x,-1,-1.0,0.0,0.09376
