name,type,nb_distance,distance,q_std,q_mod
C1,ca,3,4.168648102202919,-0.154809,-0.187724
C2,ca,2,2.864896158676611,-0.05366,-0.13901
C3,ca,1,1.9111365728278034,-0.125311,0.12664
C4,ca,2,2.8657039274844847,-0.05366,-0.13901
C5,ca,3,4.167915786097411,-0.154809,-0.187724
C6,ca,4,4.698243288719731,0.121965,0.143249
C7,cx,5,6.191611179652676,-0.034403,-0.025441
H1,h1,6,6.722846495347041,0.170406,0.167943
C8,cx,6,7.17204315380213,-0.129004,-0.132204
O1,os,6,7.004650241089844,-0.263958,-0.265673
C9,c,7,6.952868544708724,0.807143,0.807602
O2,o,8,7.367083412043058,-0.622056,-0.622215
N1,n,8,6.672614180364395,-0.926825,-0.927873
C10,c,7,8.518947881047282,0.807143,0.807602
O3,o,8,9.055617317444462,-0.622056,-0.622215
N2,n,8,9.192681056144611,-0.926825,-0.927873
Br1,br,0,0.0,-0.061688,-0.308648
H2,ha,4,5.017522296911096,0.13459,0.146995
H3,ha,3,2.9678808938365435,0.144172,0.177579
H4,ha,3,2.969653346772987,0.144172,0.177579
H5,ha,4,5.012129886585143,0.13459,0.146995
H6,hn,9,6.573654310959773,0.41622,0.416919
H7,hn,9,6.7344971601449215,0.41622,0.416919
H8,hn,9,8.840438563781778,0.41622,0.416919
H9,hn,9,10.074677711966773,0.41622,0.416919
X,x,-1,-1.0,0.0,0.11575
