name,type,nb_distance,distance,q_std,q_mod
C1,c3,3,3.596858907435764,-0.3117,-0.343135
C2,cc,2,3.137034586994539,0.615467,0.444176
C3,cc,1,2.1046353603415486,-0.561835,-0.064993
C4,cd,2,3.1718206128342126,0.631423,0.339954
O1,os,3,4.276347390004699,-0.17064,-0.152766
N1,nd,3,4.274150441900706,-0.458106,-0.424331
C5,ca,3,3.8491548422998,-0.21728,-0.071669
C6,ca,4,5.172051817219159,-0.112711,-0.132593
C7,ca,5,6.150659395544514,-0.319816,-0.334938
C8,ca,6,6.017383318353585,0.326435,0.318343
C9,ca,5,4.938500177179303,0.340863,0.365273
C10,ca,4,3.6984346688835803,-0.292425,-0.366356
O2,os,6,5.585301871877652,-0.42545,-0.420195
C11,c3,7,6.930905712819934,0.294006,0.278282
O3,os,7,7.1301476141802285,-0.415382,-0.406743
I1,i,0,0.0,0.033749,-0.357461
H1,hc,4,3.4868963276816816,0.098738,0.118644
H2,hc,4,3.5300007082152263,0.098738,0.118644
H3,hc,4,4.676543809267694,0.098738,0.118644
H4,ha,5,5.626840854333806,0.164336,0.174207
H5,ha,6,7.1627923326032565,0.210682,0.215906
H6,ha,5,2.990617494765922,0.202679,0.235455
H7,h2,8,7.6006234612694765,0.084745,0.087222
H8,h2,8,7.359370081739334,0.084745,0.087222
X,x,-1,-1.0,0.0,0.173207
