name,type,nb_distance,distance,q_std,q_mod
C1,c3,5,6.902818337461881,-0.22257,-0.250778
C2,cc,4,5.519319251501947,0.064904,0.077989
C3,cd,5,5.5575435220967915,-0.114958,-0.081952
C4,c,4,4.51324473078959,0.734528,0.658696
O1,o,5,4.964970392660968,-0.541076,-0.533859
O2,os,3,3.1619780201639607,-0.393708,-0.23579
C5,ca,2,3.073588293835074,0.453232,0.146991
C6,ca,3,4.415732442075719,-0.13196,-0.090371
C7,ca,4,4.913991656484574,-0.082927,-0.101669
C8,ca,3,4.396969979429016,-0.40496,-0.358144
C9,ca,2,3.0748691029050326,0.565968,0.273918
C10,ca,1,2.122855859449718,-0.490713,0.051858
I1,i,0,0.0,0.034562,-0.401118
O3,os,3,3.1441491694892596,-0.306507,-0.171145
C11,c3,4,4.537381844191648,-0.06016,-0.144442
C12,c3,6,6.949850430045239,-0.275166,-0.268134
H1,hc,6,7.165828493621655,0.088103,0.093925
H2,hc,6,7.166165711173584,0.088103,0.093925
H3,hc,6,7.68564343435213,0.088103,0.093925
H4,ha,5,5.998096364681048,0.167581,0.169448
H5,ha,4,5.239166727639043,0.180783,0.182955
H6,h1,5,5.110125145238618,0.086525,0.104168
H7,h1,5,4.778075135449421,0.086525,0.104168
H8,h1,5,5.110475809550418,0.086525,0.104168
H9,hc,7,7.5648769322441725,0.099754,0.096796
H10,hc,7,7.018349164867762,0.099754,0.096796
H11,hc,7,7.564760009412063,0.099754,0.096796
X,x,-1,-1.0,0.0,0.190881
