name,type,nb_distance,distance,q_std,q_mod
C1,ca,5,5.3755473209711395,0.234668,0.265938
C2,ca,4,4.5322176690887215,-0.296343,-0.323354
C3,ca,3,3.1544351316836425,-0.043992,-0.00464
C4,ca,2,2.759480023482685,0.038493,-0.04668
C5,ca,3,4.0707001854717815,0.314971,0.30793
N1,nb,4,5.21492674924586,-0.510795,-0.517625
C6,ca,4,4.577981432902497,0.222369,0.244541
C7,ca,3,4.045210748527201,-0.305432,-0.32225
C8,ca,2,2.71652075272765,-0.070885,-0.15382
C9,ca,1,1.7613077527791674,-0.122307,0.076229
Cl1,cl,0,0.0,-0.10386,-0.282305
O1,oh,5,5.9270742360797195,-0.514528,-0.51782
H1,ha,5,5.169073031018231,0.168546,0.169408
H2,ha,4,2.748187038758461,0.148726,0.153917
H3,ha,3,2.8350176366294444,0.162807,0.19548
H4,ha,4,4.889178663129422,0.208141,0.214983
H5,h4,6,6.442120535972608,0.091681,0.083965
H6,ho,6,6.244160471993013,0.377738,0.377559
X,x,-1,-1.0,0.0,0.078544
