name,type,nb_distance,distance,q_std,q_mod
C1,c3,5,5.324392641419301,-0.675534,-0.633131
C2,cc,4,5.098475948751744,0.661634,0.656143
C3,cd,3,4.133744791348397,-0.384551,-0.414056
S1,ss,4,5.171806840940601,-0.027708,-0.029866
C4,cd,5,6.422651944485238,0.089005,0.100008
N1,nc,5,6.308920272122639,-0.562904,-0.566367
C5,c3,2,2.7686845251852006,0.192962,0.136466
C6,c3,1,1.8180093509110453,-0.112628,0.16723
Cl1,cl,0,0.0,-0.224923,-0.40874
H1,hc,6,5.692429182695205,0.179242,0.168094
H2,hc,6,4.608101235867111,0.179242,0.168094
H3,hc,6,6.248512302940597,0.179242,0.168094
H4,h5,6,7.409829890085197,0.18865,0.186164
H5,hc,3,2.925423388161105,0.038009,0.050512
H6,hc,3,2.9326152151279583,0.038009,0.050512
H7,h1,2,2.3738757339001553,0.121127,0.060256
H8,h1,2,2.372776643512828,0.121127,0.060256
X,x,-1,-1.0,0.0,0.080331
