name,type,nb_distance,distance,q_std,q_mod
C1,c3,3,3.0962462757345386,-0.266458,-0.262938
C2,ca,2,2.748816836386157,0.325778,0.240824
C3,ca,3,4.0311294943229,-0.543352,-0.547184
C4,ca,4,4.542516703326473,0.47262,0.472771
C5,ca,3,4.0249811179681325,-0.302989,-0.310342
C6,ca,2,2.721474784009582,-0.102577,-0.193913
C7,ca,1,1.7659110962899576,-0.10503,0.115041
Cl1,cl,0,0.0,-0.123739,-0.309701
O1,oh,5,5.908469344931901,-0.626619,-0.620395
H1,hc,4,3.01240817287432,0.086293,0.091223
H2,hc,4,4.185382300340078,0.086293,0.091223
H3,hc,4,3.0114856798596934,0.086293,0.091223
H4,ha,4,4.895316230847604,0.202638,0.215679
H5,ha,4,4.884360449434501,0.198893,0.205085
H6,ha,3,2.8365882676201,0.166733,0.199025
H7,ho,6,6.322672378037629,0.445222,0.439884
X,x,-1,-1.0,0.0,0.082495
